DATAFLOW,SPECIFICATION: Specification,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2016,8141.11851746,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2017,8881.70380666,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2018,10477.97481617,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2019,11169.51440482,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2020,12625,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),L01: Total loans,A: Annual,2021,12511,,,"L01: Total of new loans granted during the period. Mortgage credit control has been abolished on 1 october 1975. The table does not include loans granted by institutions or bodies other than credit institutions (for instance: """"Caisse nationale d'assurance pension""""). Definitions:Loans",,,0: Zero
LU1:DF_D4201(1.0),SL01: Residents,A: Annual,1974,144.17,,,,,,0: Zero
LU1:DF_D4201(1.0),SL01: Residents,A: Annual,1975,167.08,,,,,,0: Zero
LU1:DF_D4201(1.0),SL01: Residents,A: Annual,1976,210.61,,,,,,0: Zero
LU1:DF_D4201(1.0),SL01: Residents,A: Annual,1977,224.24,,,,,,0: Zero
